,Postal Code,Travel,Outdoors,Food,Arts,Shops,Residence,Professional,Distance_to_Downtown [Km],Ratio_commuting,Ratio_renting,Average_income,Population_density,Population_change
26,M1K,6,2,11,1,10,0,11,12.3634128230713,0.21099961612284068,0.2249996161228407,25078.0,6713.917525773196,-0.03994987838136655
27,M2K,1,4,5,2,8,2,11,14.063015365015694,0.144,0.156,46752.0,2966.1835748792273,0.4158883892540067
28,M3K,5,3,11,0,10,1,12,10.696218721633189,0.14399994537459374,0.18299975418567174,26751.0,2269.8698078115312,-0.05
29,M4K,1,2,17,1,20,0,4,3.3744416307252045,0.2,0.1779998064953075,40139.0,7771.177944862155,-0.05498156106183902
30,M6K,1,1,3,1,7,8,20,4.3375774067074095,0.22299922557805066,0.17299922557805067,27260.0,8217.272727272726,-0.09492340042054671
31,M1L,8,7,9,0,6,2,6,9.804148519523597,0.19574861065707747,0.2056603465184701,26707.453743053284,4498.529411764705,-0.004798698657991054
32,M2L,1,4,4,1,3,4,11,10.822932246201011,0.1,0.11799988613072193,92099.0,2409.3278463648835,0.019976771196283393
33,M3L,1,4,7,0,9,3,10,13.1127140635775,0.14399994537459374,0.18299975418567174,26751.0,2269.8698078115312,-0.05
34,M9L,0,0,3,1,15,0,8,17.99342953279604,0.07299937333542221,0.07599953000156666,26117.0,1617.9974651457542,0.0209532949456174
35,M1M,2,7,9,1,7,2,13,13.184839762047503,0.13402558849354015,0.11886022494460008,36031.033490822425,2528.224101479915,-0.04259237020135303
36,M2M,4,1,5,1,9,2,13,14.421763937529652,0.16055171107463065,0.13537239550448288,36951.32678368481,4813.981762917933,0.2665941588560827
37,M3M,0,2,7,2,10,1,14,11.666896973383423,0.14399994537459374,0.18299975418567174,26751.0,2269.8698078115312,-0.05
38,M5M,1,0,21,0,18,0,4,8.575157123578657,0.15199941813950105,0.10099934540693868,80827.0,6056.828193832599,-0.013984509466437178
39,M6M,0,2,9,2,8,1,15,8.06271047870141,0.18199962413080248,0.19899971809810185,23910.0,6469.300911854103,-0.030959752321981424
40,M9M,0,2,4,1,17,2,11,13.800296693815866,0.08699792003697712,0.07899930667899237,30907.0,2163.5,-0.019932049830124577
41,M1N,2,1,8,1,6,0,12,10.246238437837071,0.1139996738953204,0.1519998369476602,48965.0,3524.712643678161,-0.029972321075523924
42,M2N,2,3,9,1,15,4,10,12.34155219230827,0.15599990728722418,0.12899986093083626,39895.0,5617.708333333334,0.6229921378324493
43,M3N,1,3,8,0,9,4,9,15.664710263535056,0.14399994537459374,0.18299975418567174,26751.0,2269.8698078115312,-0.05
